# Matter power spectrum P(k) at redshift z=30
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       2.169742491717e-02 
       1.341130231029e-05       4.669901846067e-02 
       1.688382928368e-05       6.832095820635e-02 
       2.125548173362e-05       1.100438656392e-01 
       2.675906609438e-05       1.609990870149e-01 
       3.368766830209e-05       2.183830239522e-01 
       4.241026168960e-05       2.838270144036e-01 
       5.339135616187e-05       3.725721419064e-01 
       6.721573504233e-05       4.719324613472e-01 
       8.461959691722e-05       5.863544481647e-01 
       1.065297608949e-04       7.292763508352e-01 
       1.341130231029e-04       9.104919306754e-01 
       1.688382928368e-04       1.132993939489e+00 
       2.125548173362e-04       1.413391581372e+00 
       2.675906609438e-04       1.762613070453e+00 
       3.368766830209e-04       2.197843747669e+00 
       4.241026168960e-04       2.740156334081e+00 
       5.339135616187e-04       3.414829261544e+00 
       6.721573504233e-04       4.253459576717e+00 
       8.461959691722e-04       5.293707417669e+00 
       1.065297608949e-03       6.579778595505e+00 
       1.341130231029e-03       8.161698124375e+00 
       1.688382928368e-03       1.009253988510e+01 
       2.125548173362e-03       1.242309366750e+01 
       2.675906609438e-03       1.519044198869e+01 
       3.368766830209e-03       1.840442212833e+01 
       4.241026168960e-03       2.203307814844e+01 
       5.339135616187e-03       2.599230321098e+01 
       6.721573504233e-03       3.013039827029e+01 
       8.461959691722e-03       3.419316575380e+01 
       1.065297608949e-02       3.779347795952e+01 
       1.341130231029e-02       4.040356154602e+01 
       1.688382928364e-02       4.138039859060e+01 
       2.125548150196e-02       4.010103597770e+01 
       2.675890332307e-02       3.629477230069e+01 
       3.366656121949e-02       3.057104541766e+01 
       4.174812847909e-02       2.493519068845e+01 
       4.845224332871e-02       2.175433331513e+01 
       5.333502158212e-02       2.016458363541e+01 
       5.737910415683e-02       1.915609430447e+01 
       6.099820005948e-02       1.838526440185e+01 
       6.437813162235e-02       1.770694857393e+01 
       6.761782965077e-02       1.704776800425e+01 
       7.077686273009e-02       1.636869300396e+01 
       7.389448284757e-02       1.565119402511e+01 
       7.699842267797e-02       1.489099972419e+01 
       8.010941563580e-02       1.409458454390e+01 
       8.324371480182e-02       1.327630284783e+01 
       8.641458889910e-02       1.245581526527e+01 
       8.963325723707e-02       1.165539620139e+01 
       9.290949883744e-02       1.089724900711e+01 
       9.625206312119e-02       1.020104715727e+01 
       9.966895476000e-02       9.581793214961e+00 
       1.031676359049e-01       9.048194274900e+00 
       1.067551724874e-01       8.601793078153e+00 
       1.104383416310e-01       8.236569456146e+00 
