# Matter power spectrum P(k) at redshift z=30
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       1.945738830783e+01 
       1.341130231029e-05       1.037578745611e+01 
       1.688382928368e-05       5.661216093056e+00 
       2.125548173362e-05       3.329701827762e+00 
       2.675906609438e-05       2.113986199361e+00 
       3.368766830209e-05       1.463600106521e+00 
       4.241026168960e-05       1.116553304906e+00 
       5.339135616187e-05       9.611932172729e-01 
       6.721573504233e-05       8.998608328149e-01 
       8.461959691722e-05       9.045462918923e-01 
       1.065297608949e-04       9.715235552389e-01 
       1.341130231029e-04       1.098716181519e+00 
       1.688382928368e-04       1.281412752920e+00 
       2.125548173362e-04       1.532551284627e+00 
       2.675906609438e-04       1.860152575923e+00 
       3.368766830209e-04       2.279648150375e+00 
       4.241026168960e-04       2.810866320023e+00 
       5.339135616187e-04       3.478127744811e+00 
       6.721573504233e-04       4.312194594700e+00 
       8.461959691722e-04       5.349788877032e+00 
       1.065297608949e-03       6.633793780021e+00 
       1.341130231029e-03       8.212123665536e+00 
       1.688382928368e-03       1.013448836618e+01 
       2.125548173362e-03       1.244688402060e+01 
       2.675906609438e-03       1.518122256934e+01 
       3.368766830209e-03       1.834541543817e+01 
       4.241026168960e-03       2.191384045956e+01 
       5.339135616187e-03       2.581442568421e+01 
       6.721573504233e-03       2.989716412154e+01 
       8.461959691722e-03       3.390235125422e+01 
       1.065297608949e-02       3.744993769038e+01 
       1.341130231029e-02       4.001808315857e+01 
       1.688382928364e-02       4.097132246777e+01 
       2.125548150196e-02       3.968836570133e+01 
       2.675890332307e-02       3.591505747389e+01 
       3.366656121949e-02       3.024776110362e+01 
       4.174812847909e-02       2.466983453021e+01 
       4.845224332871e-02       2.152215814606e+01 
       5.333502158212e-02       1.994907080386e+01 
       5.737910415683e-02       1.895119028831e+01 
       6.099820005948e-02       1.818847941842e+01 
